Calendar_Date,Calendar_Year,Calendar_Month,Week_Number,DOW,Slot_01,Qty,,,Row Labels,Sum of Qty,,
05/25/18,2018,05,21,06,11,1,,,67,45,,
05/22/18,2018,05,21,03,16,1,,,68,66,,
05/18/18,2018,05,20,06,09,1,,,69,72,,
05/15/18,2018,05,20,03,21,1,,,70,78,,
05/11/18,2018,05,19,06,14,1,,,71,44,,
05/08/18,2018,05,19,03,08,1,,,72,47,,
05/04/18,2018,05,18,06,04,1,,,73,64,,
05/01/18,2018,05,18,03,02,1,,,74,63,,
04/27/18,2018,04,17,06,02,1,,,75,54,,
04/24/18,2018,04,17,03,03,1,,,Grand Total,6168,,
04/20/18,2018,04,16,06,01,1,,,,,,
04/17/18,2018,04,16,03,12,1,,,,,,
04/13/18,2018,04,15,06,08,1,,,,,,
04/10/18,2018,04,15,03,05,1,,,,,,
04/06/18,2018,04,14,06,16,1,,,,,,
04/03/18,2018,04,14,03,04,1,,,,,,
03/30/18,2018,03,13,06,11,1,,,,,,
03/27/18,2018,03,13,03,07,1,,,,,,
03/23/18,2018,03,12,06,04,1,,,,,,
03/20/18,2018,03,12,03,14,1,,,,,,
03/16/18,2018,03,11,06,01,1,,,,,,
03/13/18,2018,03,11,03,06,1,,,,,,
03/09/18,2018,03,10,06,07,1,,,,,,
03/06/18,2018,03,10,03,01,1,,,,,,
03/02/18,2018,03,09,06,24,1,,,,,,
02/27/18,2018,02,09,03,10,1,,,,,,
02/23/18,2018,02,08,06,07,1,,,,,,
02/20/18,2018,02,08,03,17,1,,,,,,
02/16/18,2018,02,07,06,14,1,,,,,,
02/13/18,2018,02,07,03,05,1,,,,,,
02/09/18,2018,02,06,06,28,1,,,,,,
02/06/18,2018,02,06,03,14,1,,,,,,
02/02/18,2018,02,05,06,01,1,,,,,,
01/30/18,2018,01,05,03,29,1,,,,,,
01/26/18,2018,01,04,06,10,1,,,,,,
01/23/18,2018,01,04,03,02,1,,,,,,
01/19/18,2018,01,03,06,03,1,,,,,,
01/16/18,2018,01,03,03,03,1,,,,,,
01/12/18,2018,01,02,06,17,1,,,,,,
01/09/18,2018,01,02,03,16,1,,,,,,
01/05/18,2018,01,01,06,28,1,,,,,,
01/02/18,2018,01,01,03,01,1,,,,,,
12/29/17,2017,12,52,06,04,1,,,,,,
12/26/17,2017,12,52,03,10,1,,,,,,
12/22/17,2017,12,51,06,01,1,,,,,,
12/19/17,2017,12,51,03,28,1,,,,,,
12/15/17,2017,12,50,06,04,1,,,,,,
12/12/17,2017,12,50,03,08,1,,,,,,
12/08/17,2017,12,49,06,06,1,,,,,,
12/05/17,2017,12,49,03,14,1,,,,,,
12/01/17,2017,12,48,06,16,1,,,,,,
11/28/17,2017,11,48,03,10,1,,,,,,
